SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CNT_FAM_MEMBERS,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,REGION_POPULATION_RELATIVE,DAYS_REGISTRATION,DAYS_ID_PUBLISH
100000,0,Revolving loans,F,N,N,0,39411,124737,7796.06,95633.0,Working,Academic degree,Widow,House / apartment,-9893,-3812,Core staff,2,Government,0.204722,0.443732,,0.021487,-18077,-141
100001,0,Revolving loans,M,N,N,0,108734,35308,2716.0,26754.0,Commercial associate,Academic degree,Separated,Rented apartment,-24647,-12538,Accountants,2,Other,0.128711,0.503494,,0.037775,-24371,-6080
100002,0,Revolving loans,M,Y,Y,2,136784,417613,8031.02,306380.0,Commercial associate,Academic degree,Married,Municipal apartment,-17481,-7368,Sales staff,3,Self-employed,,0.644685,,0.00424,-4768,-6170
100003,0,Revolving loans,F,N,Y,0,31245,102658,1936.94,92688.0,Working,Secondary / secondary special,Civil marriage,Co-op apartment,-16840,-11640,Sales staff,2,Trade: type 7,0.202222,,0.503733,0.042451,-15491,-1325
100004,1,Cash loans,M,Y,N,0,489610,166216,4155.4,125955.0,State servant,Academic degree,Widow,Rented apartment,-16701,-11394,Core staff,3,Medicine,0.231761,0.484799,,0.040002,-15311,-3208
100005,0,Revolving loans,M,N,N,0,36097,141150,3528.75,137254.0,Pensioner,Academic degree,Single / not married,Office apartment,-14945,-10872,Drivers,2,Other,,0.640901,0.597443,0.038975,-2713,-1051
100006,0,Cash loans,F,N,N,3,25208,379006,17227.55,,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-16859,-3541,Laborers,2,School,0.308635,0.380521,,0.055332,-5898,-5188
100007,1,Revolving loans,F,Y,N,0,784142,65373,2723.88,58569.0,Commercial associate,Higher education,Civil marriage,Municipal apartment,-23124,-12538,Accountants,3,Self-employed,,0.490582,0.442187,0.076821,-6688,-2386
100008,0,Revolving loans,F,N,Y,0,60124,723483,19553.59,541077.0,State servant,Higher education,Single / not married,Municipal apartment,-9651,-12334,Medicine staff,2,Other,0.222021,0.927447,,0.079048,-24764,-2709
100009,0,Revolving loans,F,Y,N,2,19198,235399,4615.67,191446.0,Pensioner,Academic degree,Widow,Office apartment,-13877,-86,Accountants,1,Business Entity Type 3,0.318952,0.561614,,0.016216,-15264,-3629
100010,0,Revolving loans,M,Y,Y,0,225217,441147,13368.09,356450.0,Working,Academic degree,Civil marriage,With parents,-17846,-9703,Sales staff,2,School,,0.469162,0.513503,0.058504,-16017,-4342
100011,0,Cash loans,M,N,N,0,129072,66516,1385.75,49645.0,Commercial associate,Incomplete higher,Married,Office apartment,-24129,-8841,Core staff,3,XNA,,0.547035,0.48516,0.015489,-15747,-3178
